Draw Date,    Winning Numbers, Powerball


09/06/2025,   04 26 41 51 59   09,        0-2-4-5-5
09/06/2025,   06 24 50 52 58   06,        0-2-4-5-5
09/06/2025,   19 33 42 51 56   03,        1-3-4-5-5
09/06/2025,   05 19 47 53 55   02,        0-1-4-5-5
09/06/2025,   02 18 48 52 55   01,        0-1-4-5-5

09/06/2025,   16 24 32 57 62   16,        1-2-3-5-5
09/06/2025,   03 26 41 56 61   20,        0-2-4-5-6
09/06/2025,   16 20 42 53 64   10,        1-2-4-5-6
09/06/2025,   08 32 43 52 57   08,        0-3-4-5-5
09/06/2025,   11 16 41 43 56   04,        1-1-4-4-5

09/06/2025,   18 25 32 52 60   15,        1-2-3-5-5
09/06/2025,   12 24 36 56 62   11,        1-2-3-5-6
09/06/2025,   17 33 36 52 55   07,        1-3-3-5-5
09/06/2025,   17 24 43 55 58   13,        1-2-4-5-5
09/06/2025,   16 28 44 54 58   19,        1-2-4-5-5

09/06/2025,   12 31 37 51 58   14,        1-3-3-5-5
09/06/2025,   11 31 38 51 57   17,        1-3-3-5-5
09/06/2025,   10 33 38 53 55   05,        1-3-3-5-6
09/06/2025,   18 32 48 55 62   18,        1-3-4-5-6
09/06/2025,   18 42 53 64 67   12,        1-4-5-6-6

09/06/2025,   07 12 51 54 57   21,        0-1-5-5-5
09/06/2025,   08 32 52 55 58   24,        0-3-5-5-5
09/06/2025,   17 31 52 64 67   26,        1-3-5-6-6
09/06/2025,   21 42 55 57 66   23,        2-4-5-5-6
09/06/2025,   17 42 56 62 64   25,        2-4-5-6-6

09/06/2025,   12 21 46 55 64   23,        1-2-4-5-6
09/06/2025,   01 23 46 55 64   11,        0-2-4-5-6
09/06/2025,   05 23 46 55 64   18,        0-2-4-5-6
09/06/2025,   03 21 46 55 64   20,        0-2-4-5-6
09/06/2025,   06 22 46 54 62   26,        0-2-4-5-6



